,Dev0,Dev1,Dev2,Dev3,Dev4,Dev5,Dev6,Dev7,Dev8,Dev9
AY2015,6368507.671128601,8827370.591845961,9692028.850562278,10172241.069930064,10366699.606662907,10415314.336623503,10451573.891142998,10473503.20866181,10482955.414787197,10482955.414787197
AY2016,6595749.831673125,9031462.549528351,9810674.399031846,10234812.37696047,10398552.82486896,10440423.749692725,10469307.572686508,10487550.023517523,10498245.849552214,
AY2017,5708259.634478818,7947041.464814303,8958963.88237737,9371980.981993444,9585887.343368223,9630596.164708324,9660410.491988951,9681912.806667417,,
AY2018,5710557.454506017,8568354.032999974,9381744.677432053,9803800.549635062,10007122.153272266,10075358.18803685,10108086.945397425,,,
AY2019,5948085.283758774,9053761.051571766,9831464.825709784,10293094.679399963,10471025.025675192,10519009.42233752,,,,
AY2020,7121916.273437458,10288650.146169918,11235338.482408894,11692657.293266555,11916284.17003744,,,,,
AY2021,5999581.062257468,8737675.56171376,9641547.680261482,10183767.791178882,,,,,,
AY2022,7689880.77631409,10178274.792373013,11201191.578528007,,,,,,,
AY2023,7257388.210640506,10177233.14374772,,,,,,,,
AY2024,8424885.149703685,,,,,,,,,
