,Dev0,Dev1,Dev2,Dev3,Dev4,Dev5,Dev6,Dev7,Dev8,Dev9
AY2015,6368507.671128601,2458862.920717361,864658.258716316,480212.21936778515,194458.536732844,48614.729960595505,36259.55451949574,21929.317518812302,9452.206125387676,0.0
AY2016,6595749.831673125,2435712.7178552267,779211.8495034943,424137.97792862373,163740.4479084915,41870.92482376491,28883.822993782473,18242.450831015267,10695.826034690332,
AY2017,5708259.634478818,2238781.8303354857,1011922.4175630653,413017.0996160746,213906.3613747788,44708.821340101546,29814.327280628007,21502.314678465482,,
AY2018,5710557.454506017,2857796.5784939574,813390.6444320782,422055.87220300897,203321.60363720398,68236.03476458444,32728.757360575324,,,
AY2019,5948085.283758774,3105675.767812992,777703.7741380177,461629.8536901788,177930.3462752294,47984.39666232842,,,,
AY2020,7121916.273437458,3166733.872732459,946688.3362389763,457318.8108576609,223626.87677088432,,,,,
AY2021,5999581.062257468,2738094.4994562925,903872.1185477201,542220.1109174015,,,,,,
AY2022,7689880.77631409,2488394.016058923,1022916.786154994,,,,,,,
AY2023,7257388.210640506,2919844.933107214,,,,,,,,
AY2024,8424885.149703685,,,,,,,,,
