,Dev0,Dev1,Dev2,Dev3,Dev4,Dev5,Dev6,Dev7,Dev8,Dev9
AY2015,1970442.2253018327,3196780.138247935,4788318.153932838,6205284.596795731,8169258.611988191,9035291.227726065,9672590.349121068,9970514.855679704,10049671.963046448,10175351.429528909
AY2016,2464041.024832728,4699087.366628259,6113048.452379787,8077670.740252312,9038671.818851754,10111480.141924847,11097118.675422542,11357968.30717711,11452617.708095254,
AY2017,2292436.601048554,4121180.5240760124,5439567.180758719,7034326.21295463,8124567.057679691,9236273.07361575,9797195.503391208,10256772.81163024,,
AY2018,2036643.7786318755,4046736.9723557467,6289063.14529389,7592632.419445613,9088371.223497676,10480556.646986824,10998693.67114248,,,
AY2019,2619935.2003133255,5013631.77791721,7375478.532365078,8755580.970492803,9918933.40490043,11180183.578039512,,,,
AY2020,2840240.2845398374,5372798.072924976,7667579.985427249,9302856.370507129,10985080.554492548,,,,,
AY2021,3008299.966326591,5221700.044220903,8517905.616124067,10701237.876498615,,,,,,
AY2022,2369712.969713787,5456033.898169136,7435742.4781931825,,,,,,,
AY2023,3731145.780708376,7348189.520360777,,,,,,,,
AY2024,2867472.2426884575,,,,,,,,,
