,Dev0,Dev1,Dev2,Dev3,Dev4,Dev5,Dev6,Dev7,Dev8,Dev9
AY2015,1970442.2253018327,1226337.9129461024,1591538.0156849031,1416966.4428628932,1963974.015192459,866032.6157378738,637299.1213950036,297924.50655863644,79157.10736674456,125679.46648246035
AY2016,2464041.024832728,2235046.341795532,1413961.0857515282,1964622.2878725254,961001.0785994427,1072808.3230730935,985638.5334976958,260849.63175456846,94649.40091814546,
AY2017,2292436.601048554,1828743.9230274586,1318386.656682707,1594759.032195911,1090240.8447250612,1111706.0159360587,560922.4297754577,459577.3082390313,,
AY2018,2036643.7786318755,2010093.1937238711,2242326.1729381434,1303569.2741517238,1495738.804052063,1392185.4234891485,518137.024155656,,,
AY2019,2619935.2003133255,2393696.577603885,2361846.754447868,1380102.4381277238,1163352.434407628,1261250.173139083,,,,
AY2020,2840240.2845398374,2532557.788385139,2294781.9125022725,1635276.38507988,1682224.1839854193,,,,,
AY2021,3008299.966326591,2213400.077894312,3296205.571903165,2183332.260374548,,,,,,
AY2022,2369712.969713787,3086320.9284553486,1979708.580024047,,,,,,,
AY2023,3731145.780708376,3617043.7396524013,,,,,,,,
AY2024,2867472.2426884575,,,,,,,,,
