,Dev0,Dev1,Dev2,Dev3,Dev4,Dev5,Dev6,Dev7,Dev8,Dev9
AY2015,4213707.420180814,2956248.7585436627,1289695.2548669537,945862.350249562,743008.6990787917,476783.5765439525,183472.72222792942,96713.36174248824,40971.746119131356,40314.28259921005
AY2016,4253779.069643117,3350816.679951366,1554716.8676841205,1257877.8887366964,784435.9964706699,373954.13471726264,224114.87152338456,138491.22027771128,52162.53320875061,
AY2017,5113986.079771076,1719987.3591670368,1917434.1023624865,1119910.5327260797,731311.3849827488,448344.4574531784,154182.2416744111,105975.6737146248,,
AY2018,4320684.003542207,3776063.830619981,1581773.9356687032,1000841.9982692094,740358.5232186839,545993.6910379796,245639.01973472963,,,
AY2019,3867339.4441860695,3332889.1035581483,1855398.9191027305,1447035.1731257446,749848.6864855464,458355.92787444894,,,,
AY2020,4162576.867400172,2451766.6885483814,2019232.6819497424,1337685.3502856053,894219.7748134865,,,,,
AY2021,4496405.363753943,2596761.218492908,1863562.4191452337,1259925.2225777695,,,,,,
AY2022,4262620.914398035,3417093.8998595173,2269876.470023691,,,,,,,
AY2023,7261582.236974937,3811550.461137574,,,,,,,,
AY2024,5687288.042616441,,,,,,,,,
