accident_year,development_period,calendar_year,actual,fitted,residual,abs_residual
0,0,0,1970442.2253018327,1970442.2253018327,0.0,0.0
0,1,1,3196780.138247935,3196780.138247935,0.0,0.0
0,2,2,4788318.153932838,4788318.153932838,0.0,0.0
0,3,3,6205284.596795731,6205284.596795731,0.0,0.0
0,4,4,8169258.611988191,8169258.611988191,0.0,0.0
0,5,5,9035291.227726065,9035291.227726065,0.0,0.0
0,6,6,9672590.349121068,9672590.349121068,0.0,0.0
0,7,7,9970514.855679704,9970514.855679704,0.0,0.0
0,8,8,10049671.963046448,10049671.963046448,0.0,0.0
0,9,9,10175351.429528909,10175351.429528909,0.0,0.0
1,0,1,2464041.024832728,2464041.024832728,0.0,0.0
1,1,2,4699087.366628259,4699087.366628259,0.0,0.0
1,2,3,6113048.452379787,6113048.452379787,0.0,0.0
1,3,4,8077670.740252312,8077670.740252312,0.0,0.0
1,4,5,9038671.818851754,9038671.818851754,0.0,0.0
1,5,6,10111480.141924847,10111480.141924847,0.0,0.0
1,6,7,11097118.675422542,11097118.675422542,0.0,0.0
1,7,8,11357968.30717711,11357968.30717711,0.0,0.0
1,8,9,11452617.708095254,11452617.708095254,0.0,0.0
2,0,2,2292436.601048554,2292436.601048554,0.0,0.0
2,1,3,4121180.5240760124,4121180.5240760124,0.0,0.0
2,2,4,5439567.180758719,5439567.180758719,0.0,0.0
2,3,5,7034326.21295463,7034326.21295463,0.0,0.0
2,4,6,8124567.057679691,8124567.057679691,0.0,0.0
2,5,7,9236273.07361575,9236273.07361575,0.0,0.0
2,6,8,9797195.503391208,9797195.503391208,0.0,0.0
2,7,9,10256772.81163024,10256772.81163024,0.0,0.0
3,0,3,2036643.7786318755,2036643.7786318755,0.0,0.0
3,1,4,4046736.9723557467,4046736.9723557467,0.0,0.0
3,2,5,6289063.14529389,6289063.14529389,0.0,0.0
3,3,6,7592632.419445613,7592632.419445613,0.0,0.0
3,4,7,9088371.223497676,9088371.223497676,0.0,0.0
3,5,8,10480556.646986824,10480556.646986824,0.0,0.0
3,6,9,10998693.67114248,10998693.67114248,0.0,0.0
4,0,4,2619935.2003133255,2619935.2003133255,0.0,0.0
4,1,5,5013631.77791721,5013631.77791721,0.0,0.0
4,2,6,7375478.532365078,7375478.532365078,0.0,0.0
4,3,7,8755580.970492803,8755580.970492803,0.0,0.0
4,4,8,9918933.40490043,9918933.40490043,0.0,0.0
4,5,9,11180183.578039512,11180183.578039512,0.0,0.0
5,0,5,2840240.2845398374,2840240.2845398374,0.0,0.0
5,1,6,5372798.072924976,5372798.072924976,0.0,0.0
5,2,7,7667579.985427249,7667579.985427249,0.0,0.0
5,3,8,9302856.370507129,9302856.370507129,0.0,0.0
5,4,9,10985080.554492548,10985080.554492548,0.0,0.0
6,0,6,3008299.966326591,3008299.966326591,0.0,0.0
6,1,7,5221700.044220903,5221700.044220903,0.0,0.0
6,2,8,8517905.616124067,8517905.616124067,0.0,0.0
6,3,9,10701237.876498615,10701237.876498615,0.0,0.0
7,0,7,2369712.969713787,2369712.969713787,0.0,0.0
7,1,8,5456033.898169136,5456033.898169136,0.0,0.0
7,2,9,7435742.4781931825,7435742.4781931825,0.0,0.0
8,0,8,3731145.780708376,3731145.780708376,0.0,0.0
8,1,9,7348189.520360777,7348189.520360777,0.0,0.0
9,0,9,2867472.2426884575,2867472.2426884575,0.0,0.0
