accident_year,development_period,calendar_year,actual,fitted,residual,abs_residual
0,0,0,4213707.420180814,4213707.420180814,0.0,0.0
0,1,1,7169956.178724477,7169956.178724477,0.0,0.0
0,2,2,8459651.433591431,8459651.433591431,0.0,0.0
0,3,3,9405513.783840993,9405513.783840993,0.0,0.0
0,4,4,10148522.482919784,10148522.482919784,0.0,0.0
0,5,5,10625306.059463738,10625306.059463738,0.0,0.0
0,6,6,10808778.781691667,10808778.781691667,0.0,0.0
0,7,7,10905492.143434156,10905492.143434156,0.0,0.0
0,8,8,10946463.889553288,10946463.889553288,0.0,0.0
0,9,9,10986778.172152499,10986778.172152499,0.0,0.0
1,0,1,4253779.069643117,4253779.069643117,0.0,0.0
1,1,2,7604595.749594483,7604595.749594483,0.0,0.0
1,2,3,9159312.617278604,9159312.617278604,0.0,0.0
1,3,4,10417190.5060153,10417190.5060153,0.0,0.0
1,4,5,11201626.50248597,11201626.50248597,0.0,0.0
1,5,6,11575580.637203233,11575580.637203233,0.0,0.0
1,6,7,11799695.508726617,11799695.508726617,0.0,0.0
1,7,8,11938186.72900433,11938186.72900433,0.0,0.0
1,8,9,11990349.26221308,11990349.26221308,0.0,0.0
2,0,2,5113986.079771076,5113986.079771076,0.0,0.0
2,1,3,6833973.438938113,6833973.438938113,0.0,0.0
2,2,4,8751407.541300599,8751407.541300599,0.0,0.0
2,3,5,9871318.074026678,9871318.074026678,0.0,0.0
2,4,6,10602629.459009426,10602629.459009426,0.0,0.0
2,5,7,11050973.916462604,11050973.916462604,0.0,0.0
2,6,8,11205156.158137016,11205156.158137016,0.0,0.0
2,7,9,11311131.83185164,11311131.83185164,0.0,0.0
3,0,3,4320684.003542207,4320684.003542207,0.0,0.0
3,1,4,8096747.834162189,8096747.834162189,0.0,0.0
3,2,5,9678521.769830892,9678521.769830892,0.0,0.0
3,3,6,10679363.768100102,10679363.768100102,0.0,0.0
3,4,7,11419722.291318785,11419722.291318785,0.0,0.0
3,5,8,11965715.982356764,11965715.982356764,0.0,0.0
3,6,9,12211355.002091493,12211355.002091493,0.0,0.0
4,0,4,3867339.4441860695,3867339.4441860695,0.0,0.0
4,1,5,7200228.547744218,7200228.547744218,0.0,0.0
4,2,6,9055627.466846948,9055627.466846948,0.0,0.0
4,3,7,10502662.639972692,10502662.639972692,0.0,0.0
4,4,8,11252511.326458238,11252511.326458238,0.0,0.0
4,5,9,11710867.254332688,11710867.254332688,0.0,0.0
5,0,5,4162576.867400172,4162576.867400172,0.0,0.0
5,1,6,6614343.555948554,6614343.555948554,0.0,0.0
5,2,7,8633576.237898296,8633576.237898296,0.0,0.0
5,3,8,9971261.5881839,9971261.5881839,0.0,0.0
5,4,9,10865481.362997387,10865481.362997387,0.0,0.0
6,0,6,4496405.363753943,4496405.363753943,0.0,0.0
6,1,7,7093166.582246851,7093166.582246851,0.0,0.0
6,2,8,8956729.001392085,8956729.001392085,0.0,0.0
6,3,9,10216654.223969854,10216654.223969854,0.0,0.0
7,0,7,4262620.914398035,4262620.914398035,0.0,0.0
7,1,8,7679714.814257553,7679714.814257553,0.0,0.0
7,2,9,9949591.284281245,9949591.284281245,0.0,0.0
8,0,8,7261582.236974937,7261582.236974937,0.0,0.0
8,1,9,11073132.69811251,11073132.69811251,0.0,0.0
9,0,9,5687288.042616441,5687288.042616441,0.0,0.0
